Name,Birth,Death,Covid,Created
DJ Arafat,1986-01-26,2019-08-12,False,2008-10-12
Nikki Araguz Loyd,1975-06-04,2019-11-06,False,2011-10-12
Gebran Araiji,1951-04-19,2019-01-09,False,2011-04-25
Graciela Araujo,1930-04-19,2019-05-03,False,2020-01-12
Patrícia Araújo,1982-03-11,2019-07-06,False,2011-05-03
Beatrice Arbour,1920-12-02,2019-06-10,False,2017-03-27
Les Archer Jr.,1929-02-27,2019-12-18,False,2009-08-16
Christos Archontidis,1938-06-26,2019-10-22,False,2010-09-13
Jaime Ardila Casamitjana,1919-01-12,2019-01-30,False,2017-01-13
Josette Arène,1924-08-13,2019-08-13,False,2015-03-27
Moshe Arens,1925-12-27,2019-01-07,False,2004-09-08
Ron Areshenkoff,1957-06-13,2019-12-15,False,2007-06-26
Dominick Argento,1927-10-27,2019-02-20,False,2005-02-19
Carmen Argenziano,1943-10-27,2019-02-10,False,2004-06-02
Ali Argon,1930-12-19,2019-12-21,False,2017-04-27
Miriam Argüello,1927-02-22,2019-02-07,False,2019-02-08
Gustavo Arias Murueta,1923-05-26,2019-04-15,False,2013-03-07
David Arias Pérez,1929-07-22,2019-05-09,False,2011-05-26
Kinryū Arimoto,1940-02-11,2019-02-01,False,2006-04-13
Giorgio Arlorio,1929-02-27,2019-07-25,False,2019-07-27
Aytaç Arman,1949-06-22,2019-02-26,False,2010-08-17
Kurt Armbruster,1934-04-19,2019-03-14,False,2011-09-22
Martin Armiger,1949-06-10,2019-11-27,False,2006-09-23
Margaret-Ann Armour,1939-04-19,2019-05-25,False,2019-05-26
Joe Armstrong (programmer),1950-12-27,2019-04-20,False,2008-10-08
Michael F. Armstrong,1932-12-14,2019-10-17,False,2015-03-12
Graham Arnold (artist),1932-04-19,2019-03-19,False,2006-07-28
Don Arnott,1936-03-03,2019-04-11,False,2019-12-27
Janet Arnott,1956-04-17,2019-06-24,False,2007-02-05
Dave Aron,1964-08-29,2019-03-11,False,2008-12-16
Lewis Aron,1952-12-21,2019-02-28,False,2009-06-02
Alfredo Arpaia,1930-08-14,2019-01-06,False,2019-01-10
Arswendo Atmowiloto,1948-11-26,2019-07-19,False,2019-07-19
Giampiero Artegiani,1955-05-14,2019-02-04,False,2016-10-16
Elmer Arterburn,1929-06-15,2019-05-31,False,2015-04-12
Max Arthur,1939-02-25,2019-05-02,False,2007-07-18
Sal Artiaga,1946-08-04,2019-02-16,False,2015-12-06
Yuri Artsutanov,1929-10-05,2019-01-01,False,2004-11-22
Arturo Rojas de la Cámara,1930-12-22,2019-01-08,False,2019-01-15
Santhanam Arulsamy,1959-04-19,2019-01-06,False,2018-07-22
Juan Manuel Arza Muñuzuri,1932-10-17,2019-03-15,False,2019-04-22
Milan Asadurov,1949-12-29,2019-06-07,False,2008-02-09
Edward Aschoff,1985-12-24,2019-12-24,False,2020-04-03
John Ash (writer),1948-06-29,2019-12-03,False,2007-02-26
Ashitha (writer),1956-04-05,2019-03-27,False,2014-03-30
John Ashman,1926-05-20,2019-03-04,False,2007-02-14
Wendy Ashmore,1948-06-26,2019-01-08,False,2011-10-17
Janet Asimov,1926-08-06,2019-02-25,False,2003-04-04
Richard Askey,1933-06-04,2019-10-09,False,2005-10-05
Khwaja Muhammad Aslam,1922-02-08,2019-07-23,False,2009-10-09
Asmah Laili,1940-04-19,2019-02-15,False,2019-12-28
Leidy Asprilla,1997-04-18,2019-05-19,False,2019-05-25
